================================================================================
완성형 한글 글자 빈도 분석 결과
================================================================================

총 단어 수: 442491개
총 글자 수: 1442178개
고유 글자 수: 2444개

================================================================================

순위    글자    빈도        비율(%)    누적(%)
----------------------------------------------------------------
1       다      88505       6.1369        6.14
2       하      58019       4.0230       10.16
3       이      23313       1.6165       11.78
4       리      22131       1.5346       13.31
5       기      21559       1.4949       14.81
6       지      17748       1.2306       16.04
7       사      17039       1.1815       17.22
8       대      14049       0.9742       18.19
9       수      13147       0.9116       19.10
10      자      12877       0.8929       20.00
11      가      11496       0.7971       20.79
12      장      10161       0.7046       21.50
13      도      9600        0.6657       22.16
14      전      9543        0.6617       22.83
15      고      9473        0.6569       23.48
16      구      9382        0.6505       24.13
17      무      9239        0.6406       24.77
18      시      9091        0.6304       25.40
19      부      9037        0.6266       26.03
20      비      8905        0.6175       26.65
21      정      8818        0.6114       27.26
22      상      8677        0.6017       27.86
23      거      8669        0.6011       28.46
24      주      8586        0.5953       29.06
25      스      8218        0.5698       29.63
26      소      8107        0.5621       30.19
27      아      7972        0.5528       30.74
28      조      7895        0.5474       31.29
29      화      7664        0.5314       31.82
30      성      7622        0.5285       32.35
31      나      6943        0.4814       32.83
32      어      6690        0.4639       33.30
33      동      6445        0.4469       33.74
34      치      6307        0.4373       34.18
35      선      6287        0.4359       34.62
36      산      6201        0.4300       35.05
37      우      6167        0.4276       35.47
38      유      6163        0.4273       35.90
39      물      6126        0.4248       36.32
40      제      6068        0.4208       36.75
41      인      5937        0.4117       37.16
42      미      5922        0.4106       37.57
43      마      5877        0.4075       37.98
44      적      5779        0.4007       38.38
45      신      5753        0.3989       38.78
46      로      5687        0.3943       39.17
47      되      5594        0.3879       39.56
48      방      5575        0.3866       39.94
49      개      5522        0.3829       40.33
50      오      5504        0.3816       40.71
51      보      5461        0.3787       41.09
52      경      5456        0.3783       41.47
53      공      5425        0.3762       41.84
54      연      5322        0.3690       42.21
55      르      5214        0.3615       42.57
56      의      5101        0.3537       42.93
57      일      4983        0.3455       43.27
58      모      4944        0.3428       43.61
59      불      4917        0.3409       43.96
60      문      4807        0.3333       44.29
61      계      4748        0.3292       44.62
62      라      4682        0.3246       44.94
63      바      4661        0.3232       45.27
64      레      4651        0.3225       45.59
65      서      4633        0.3213       45.91
66      질      4593        0.3185       46.23
67      관      4571        0.3170       46.54
68      원      4529        0.3140       46.86
69      반      4472        0.3101       47.17
70      세      4434        0.3075       47.48
71      진      4374        0.3033       47.78
72      중      4358        0.3022       48.08
73      단      4317        0.2993       48.38
74      호      4290        0.2975       48.68
75      재      4232        0.2934       48.97
76      양      4221        0.2927       49.26
77      음      3985        0.2763       49.54
78      금      3980        0.2760       49.82
79      천      3961        0.2747       50.09
80      실      3941        0.2733       50.36
81      식      3930        0.2725       50.64
82      두      3902        0.2706       50.91
83      배      3883        0.2692       51.18
84      강      3852        0.2671       51.44
85      발      3850        0.2670       51.71
86      간      3833        0.2658       51.98
87      파      3820        0.2649       52.24
88      감      3698        0.2564       52.50
89      그      3678        0.2550       52.75
90      초      3670        0.2545       53.01
91      위      3658        0.2536       53.26
92      당      3626        0.2514       53.51
93      분      3607        0.2501       53.76
94      히      3572        0.2477       54.01
95      종      3565        0.2472       54.26
96      포      3546        0.2459       54.50
97      해      3496        0.2424       54.75
98      드      3426        0.2376       54.98
99      트      3387        0.2349       55.22
100     안      3383        0.2346       55.45
101     차      3374        0.2340       55.69
102     명      3367        0.2335       55.92
103     석      3344        0.2319       56.15
104     각      3322        0.2303       56.38
105     과      3309        0.2294       56.61
106     심      3309        0.2294       56.84
107     통      3267        0.2265       57.07
108     생      3260        0.2260       57.29
109     작      3242        0.2248       57.52
110     교      3234        0.2242       57.74
111     복      3206        0.2223       57.97
112     노      3192        0.2213       58.19
113     영      3188        0.2211       58.41
114     내      3147        0.2182       58.63
115     매      3137        0.2175       58.84
116     법      3116        0.2161       59.06
117     회      3099        0.2149       59.27
118     근      3046        0.2112       59.49
119     목      3032        0.2102       59.70
120     절      2971        0.2060       59.90
121     청      2945        0.2042       60.11
122     박      2917        0.2023       60.31
123     용      2880        0.1997       60.51
124     병      2866        0.1987       60.71
125     락      2838        0.1968       60.90
126     루      2824        0.1958       61.10
127     국      2797        0.1939       61.29
128     군      2781        0.1928       61.49
129     들      2764        0.1917       61.68
130     판      2760        0.1914       61.87
131     만      2759        0.1913       62.06
132     여      2758        0.1912       62.25
133     한      2711        0.1880       62.44
134     학      2697        0.1870       62.63
135     삼      2693        0.1867       62.81
136     살      2691        0.1866       63.00
137     은      2691        0.1866       63.19
138     토      2669        0.1851       63.37
139     니      2667        0.1849       63.56
140     체      2663        0.1847       63.74
141     피      2614        0.1813       63.92
142     추      2609        0.1809       64.10
143     름      2609        0.1809       64.28
144     광      2573        0.1784       64.46
145     설      2564        0.1778       64.64
146     타      2545        0.1765       64.82
147     망      2526        0.1752       64.99
148     등      2510        0.1740       65.17
149     랑      2490        0.1727       65.34
150     새      2480        0.1720       65.51
151     속      2478        0.1718       65.68
152     저      2460        0.1706       65.85
153     창      2452        0.1700       66.02
154     백      2433        0.1687       66.19
155     벌      2399        0.1663       66.36
156     래      2395        0.1661       66.52
157     면      2389        0.1657       66.69
158     행      2370        0.1643       66.85
159     형      2355        0.1633       67.02
160     역      2342        0.1624       67.18
161     색      2294        0.1591       67.34
162     집      2293        0.1590       67.50
163     직      2226        0.1543       67.65
164     림      2217        0.1537       67.81
165     증      2211        0.1533       67.96
166     봉      2202        0.1527       68.11
167     귀      2182        0.1513       68.26
168     요      2180        0.1512       68.41
169     덕      2172        0.1506       68.57
170     돌      2168        0.1503       68.72
171     말      2138        0.1482       68.86
172     야      2127        0.1475       69.01
